location_id,latitude,longitude,city,region,created_at
1,81.6448255,-120.229585,Mumbai,Maharashtra,13-09-2022 4.43
2,-16.172379,-48.524686,Delhi,Delhi,18-07-2023 2.09
3,-52.5430735,-124.973324,Bangalore,Karnataka,21-06-2025 13.26
4,56.395715,-133.325072,Hyderabad,Telangana,07-02-2025 15.24
5,23.2587775,-162.936802,Chennai,Tamil Nadu,20-09-2022 15.10
6,-64.8488745,-62.619631,Kolkata,West Bengal,01-08-2023 18.28
7,45.655277,143.206344,Pune,Maharashtra,15-09-2022 13.35
8,60.658074,-73.249851,Ahmedabad,Gujarat,10-05-2025 21.41
9,56.281615,45.227988,Mumbai,Maharashtra,13-07-2023 18.52
10,30.5836345,136.359605,Delhi,Delhi,11-10-2023 11.57
11,-88.2555025,-94.28356,Bangalore,Karnataka,24-07-2025 20.46
12,23.444689,2.670606,Hyderabad,Telangana,11-10-2023 0.02
13,-48.263789,-64.404305,Chennai,Tamil Nadu,10-01-2024 5.24
14,-62.5631375,-130.207454,Kolkata,West Bengal,17-03-2024 12.58
15,-64.037895,12.725585,Pune,Maharashtra,21-01-2024 15.50
16,72.061472,-37.986444,Ahmedabad,Gujarat,11-10-2022 20.12
17,33.325926,107.885264,Mumbai,Maharashtra,15-02-2023 6.06
18,11.612049,-137.694467,Delhi,Delhi,09-12-2024 21.49
19,-11.300556,157.498421,Bangalore,Karnataka,23-03-2025 4.20
20,7.075663,129.963575,Hyderabad,Telangana,31-05-2023 1.17
21,-71.328931,-155.398221,Chennai,Tamil Nadu,28-05-2025 13.56
22,-28.8240235,-24.636023,Kolkata,West Bengal,07-12-2022 7.06
23,-27.5106725,-125.77527,Pune,Maharashtra,17-03-2024 20.23
24,-15.3820285,63.422802,Ahmedabad,Gujarat,18-04-2025 20.17
25,7.933892,-92.675747,Mumbai,Maharashtra,02-03-2024 9.35
26,5.367253,-67.521771,Delhi,Delhi,11-06-2025 10.11
27,-18.333688,167.911349,Bangalore,Karnataka,24-11-2022 6.19
28,73.512359,160.901372,Hyderabad,Telangana,28-04-2023 4.45
29,53.38208,-48.568135,Chennai,Tamil Nadu,16-04-2023 4.20
30,34.087031,23.71859,Kolkata,West Bengal,28-09-2023 16.38
31,81.7986265,119.010119,Pune,Maharashtra,12-07-2023 12.05
32,-2.9510165,-149.968543,Ahmedabad,Gujarat,27-07-2023 3.46
33,-81.383158,-10.642433,Mumbai,Maharashtra,19-04-2024 12.45
34,-18.1288545,-144.465264,Delhi,Delhi,29-06-2023 2.15
35,62.2512355,-11.058598,Bangalore,Karnataka,01-07-2023 15.32
36,85.942977,88.022742,Hyderabad,Telangana,10-04-2024 22.28
37,82.564235,66.344213,Chennai,Tamil Nadu,15-03-2023 6.53
38,-18.8967705,-105.036541,Kolkata,West Bengal,23-08-2023 11.11
39,60.6911115,109.361229,Pune,Maharashtra,17-09-2023 11.58
40,66.9236075,50.013656,Ahmedabad,Gujarat,27-01-2025 19.56
41,17.213257,14.345362,Mumbai,Maharashtra,12-07-2023 1.07
42,-52.866856,93.549845,Delhi,Delhi,09-09-2024 23.51
43,-65.5966905,-154.70459,Bangalore,Karnataka,22-01-2023 16.16
44,-48.9719705,156.857528,Hyderabad,Telangana,10-04-2023 20.48
45,23.3227025,140.194662,Chennai,Tamil Nadu,12-11-2022 0.44
46,13.285188,24.880292,Kolkata,West Bengal,16-02-2025 0.34
47,35.641184,104.066101,Pune,Maharashtra,30-08-2023 21.38
48,58.5054455,-173.836174,Ahmedabad,Gujarat,27-06-2025 3.03
49,-59.2502515,108.28375,Mumbai,Maharashtra,23-09-2023 20.12
50,82.056873,2.630317,Delhi,Delhi,25-01-2023 15.13
51,-11.2141595,53.412819,Bangalore,Karnataka,08-04-2023 0.47
52,31.79553,-178.257685,Hyderabad,Telangana,18-09-2023 12.06
53,44.3750615,-84.087002,Chennai,Tamil Nadu,01-10-2024 23.59
54,-61.4355625,155.705485,Kolkata,West Bengal,11-11-2023 23.04
55,81.516698,92.549434,Pune,Maharashtra,08-03-2025 8.18
56,-36.6052075,-97.945041,Ahmedabad,Gujarat,08-03-2024 4.46
57,-46.634511,109.576908,Mumbai,Maharashtra,06-11-2024 5.16
58,-89.846483,141.555926,Delhi,Delhi,21-12-2023 21.39
59,41.159096,-169.543504,Bangalore,Karnataka,26-01-2023 2.58
60,7.436907,-14.904609,Hyderabad,Telangana,12-08-2023 7.40
